timestamp,steps,data source
2025-08-03T15:41:00Z,25,Sense 2
2025-08-03T15:42:00Z,33,Sense 2
2025-08-03T15:43:00Z,41,Sense 2
2025-08-03T15:44:00Z,23,Sense 2
2025-08-03T15:56:00Z,18,Sense 2
2025-08-03T16:07:00Z,13,Sense 2
2025-08-03T16:10:00Z,6,Sense 2
2025-08-03T16:11:00Z,1,Sense 2
2025-08-03T16:48:00Z,12,Sense 2
2025-08-03T17:08:00Z,12,Sense 2
2025-08-03T17:09:00Z,22,Sense 2
2025-08-03T17:10:00Z,12,Sense 2
2025-08-03T18:25:00Z,6,Sense 2
2025-08-03T22:30:00Z,7,Sense 2
2025-08-03T22:45:00Z,10,Sense 2
2025-08-03T23:53:00Z,8,Sense 2
2025-08-03T23:54:00Z,25,Sense 2
2025-08-03T23:57:00Z,25,Sense 2
2025-08-04T00:21:00Z,19,Sense 2
2025-08-04T00:29:00Z,9,Sense 2
2025-08-04T00:35:00Z,10,Sense 2
2025-08-04T01:01:00Z,15,Sense 2
2025-08-04T01:05:00Z,15,Sense 2
2025-08-04T01:07:00Z,7,Sense 2
2025-08-04T01:31:00Z,5,Sense 2
2025-08-04T01:37:00Z,25,Sense 2
2025-08-04T01:38:00Z,45,Sense 2
2025-08-04T01:39:00Z,30,Sense 2
2025-08-04T01:40:00Z,38,Sense 2
2025-08-04T01:41:00Z,27,Sense 2
2025-08-04T01:42:00Z,15,Sense 2
2025-08-04T01:44:00Z,15,Sense 2
2025-08-04T01:45:00Z,11,Sense 2
2025-08-04T01:47:00Z,16,Sense 2
2025-08-04T01:51:00Z,24,Sense 2
2025-08-04T01:52:00Z,11,Sense 2
2025-08-04T01:54:00Z,30,Sense 2
2025-08-04T01:56:00Z,31,Sense 2
2025-08-04T01:57:00Z,54,Sense 2
2025-08-04T01:58:00Z,29,Sense 2
2025-08-04T02:04:00Z,13,Sense 2
2025-08-04T02:05:00Z,9,Sense 2
2025-08-04T02:07:00Z,12,Sense 2
2025-08-04T02:10:00Z,6,Sense 2
2025-08-04T02:11:00Z,8,Sense 2
2025-08-04T02:15:00Z,5,Sense 2
2025-08-04T02:16:00Z,6,Sense 2
2025-08-04T02:17:00Z,16,Sense 2
2025-08-04T02:19:00Z,9,Sense 2
2025-08-04T02:20:00Z,25,Sense 2
2025-08-04T02:21:00Z,51,Sense 2
2025-08-04T02:32:00Z,34,Sense 2
2025-08-04T02:33:00Z,13,Sense 2
2025-08-04T02:34:00Z,33,Sense 2
2025-08-04T02:37:00Z,5,Sense 2
2025-08-04T02:38:00Z,16,Sense 2
2025-08-04T02:40:00Z,10,Sense 2
2025-08-04T02:42:00Z,24,Sense 2
2025-08-04T02:43:00Z,37,Sense 2
2025-08-04T02:47:00Z,13,Sense 2
2025-08-04T02:48:00Z,38,Sense 2
2025-08-04T02:52:00Z,38,Sense 2
