timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-08-06T03:20:00Z,20.29,0.0,Fitbit App
2025-08-06T03:25:00Z,23.671,0.0,Fitbit App
2025-08-06T03:30:00Z,22.674,0.0,Fitbit App
2025-08-06T03:35:00Z,19.333,0.0,Fitbit App
2025-08-06T03:40:00Z,19.742,0.0,Fitbit App
2025-08-06T03:45:00Z,19.521,0.0,Fitbit App
2025-08-06T03:50:00Z,18.128,0.0,Fitbit App
2025-08-06T03:55:00Z,16.649,0.0,Fitbit App
2025-08-06T04:00:00Z,13.904,0.0,Fitbit App
2025-08-06T04:05:00Z,14.452,0.0,Fitbit App
2025-08-06T04:10:00Z,15.039,0.0,Fitbit App
2025-08-06T04:15:00Z,33.857,0.0,Fitbit App
2025-08-06T04:20:00Z,21.577,0.0,Fitbit App
2025-08-06T04:25:00Z,19.573,0.0,Fitbit App
2025-08-06T04:30:00Z,17.935,0.0,Fitbit App
2025-08-06T04:35:00Z,20.417,0.0,Fitbit App
2025-08-06T04:40:00Z,14.318,0.0,Fitbit App
2025-08-06T04:45:00Z,13.166,0.0,Fitbit App
2025-08-06T04:50:00Z,11.749,0.0,Fitbit App
2025-08-06T04:55:00Z,10.431,0.0,Fitbit App
2025-08-06T05:00:00Z,12.348,0.0,Fitbit App
2025-08-06T05:05:00Z,17.223,0.0,Fitbit App
2025-08-06T05:15:00Z,32.559,0.0,Fitbit App
2025-08-06T05:20:00Z,12.404,0.0,Fitbit App
2025-08-06T05:25:00Z,17.275,0.0,Fitbit App
2025-08-06T05:30:00Z,15.656,0.0,Fitbit App
2025-08-06T05:35:00Z,15.222,0.0,Fitbit App
2025-08-06T05:40:00Z,14.662,0.0,Fitbit App
2025-08-06T05:45:00Z,13.916,0.0,Fitbit App
2025-08-06T05:50:00Z,21.269,0.0,Fitbit App
2025-08-06T05:55:00Z,16.482,0.0,Fitbit App
2025-08-06T06:00:00Z,16.266,0.0,Fitbit App
2025-08-06T06:05:00Z,13.668,0.0,Fitbit App
2025-08-06T06:20:00Z,25.522,0.0,Fitbit App
2025-08-06T06:25:00Z,16.076,0.0,Fitbit App
2025-08-06T06:30:00Z,30.944,0.0,Fitbit App
2025-08-06T06:35:00Z,22.012,0.0,Fitbit App
2025-08-06T06:40:00Z,19.772,0.0,Fitbit App
2025-08-06T06:45:00Z,21.439,0.0,Fitbit App
2025-08-06T06:50:00Z,16.922,0.0,Fitbit App
2025-08-06T06:55:00Z,14.972,0.0,Fitbit App
2025-08-06T07:00:00Z,13.33,0.0,Fitbit App
2025-08-06T07:05:00Z,11.903,0.0,Fitbit App
2025-08-06T07:10:00Z,13.757,0.0,Fitbit App
2025-08-06T07:15:00Z,11.253,0.0,Fitbit App
2025-08-06T07:20:00Z,15.786,0.0,Fitbit App
2025-08-06T07:25:00Z,31.406,0.0,Fitbit App
2025-08-06T07:30:00Z,23.209,0.0,Fitbit App
2025-08-06T07:35:00Z,16.484,0.0,Fitbit App
2025-08-10T20:45:00Z,25.489,0.0,Fitbit App
2025-08-10T20:50:00Z,25.422,0.0,Fitbit App
2025-08-10T20:55:00Z,23.468,0.0,Fitbit App
2025-08-10T21:00:00Z,23.098,0.0,Fitbit App
2025-08-10T21:05:00Z,22.727,0.0,Fitbit App
2025-08-10T21:10:00Z,24.091,0.0,Fitbit App
2025-08-10T21:15:00Z,27.297,0.0,Fitbit App
2025-08-10T21:20:00Z,21.204,0.0,Fitbit App
2025-08-10T21:25:00Z,22.961,0.0,Fitbit App
