timestamp,temperature celsius,data source
2025-07-14T19:14:00Z,33.1,Sense 2
2025-07-14T19:15:00Z,33.1,Sense 2
2025-07-14T19:16:00Z,33.2,Sense 2
2025-07-14T19:17:00Z,33.1,Sense 2
2025-07-14T19:18:00Z,33.1,Sense 2
2025-07-14T19:19:00Z,33.2,Sense 2
2025-07-14T19:20:00Z,33.1,Sense 2
2025-07-14T19:21:00Z,33.2,Sense 2
2025-07-14T19:22:00Z,33.2,Sense 2
2025-07-14T19:23:00Z,33.2,Sense 2
2025-07-14T19:24:00Z,33.2,Sense 2
2025-07-14T19:25:00Z,33.2,Sense 2
2025-07-14T19:26:00Z,33.1,Sense 2
2025-07-14T19:27:00Z,33.2,Sense 2
2025-07-14T19:28:00Z,33.1,Sense 2
2025-07-14T19:29:00Z,32.9,Sense 2
2025-07-14T19:30:00Z,32.9,Sense 2
2025-07-14T19:31:00Z,32.8,Sense 2
2025-07-14T19:32:00Z,32.7,Sense 2
2025-07-14T19:33:00Z,32.6,Sense 2
2025-07-14T19:34:00Z,32.6,Sense 2
2025-07-14T19:35:00Z,32.5,Sense 2
2025-07-14T19:36:00Z,32.5,Sense 2
2025-07-14T19:37:00Z,32.5,Sense 2
2025-07-14T19:38:00Z,32.4,Sense 2
2025-07-14T19:39:00Z,32.4,Sense 2
2025-07-14T19:40:00Z,32.4,Sense 2
2025-07-14T19:41:00Z,32.4,Sense 2
2025-07-14T19:42:00Z,32.3,Sense 2
2025-07-14T19:43:00Z,32.4,Sense 2
2025-07-14T19:44:00Z,32.3,Sense 2
2025-07-14T19:45:00Z,32.4,Sense 2
2025-07-14T19:46:00Z,32.3,Sense 2
2025-07-14T19:47:00Z,32.3,Sense 2
2025-07-14T19:48:00Z,32.3,Sense 2
2025-07-14T19:49:00Z,32.3,Sense 2
2025-07-14T19:50:00Z,32.3,Sense 2
2025-07-14T19:51:00Z,32.2,Sense 2
2025-07-14T19:52:00Z,32.2,Sense 2
2025-07-14T19:53:00Z,32.3,Sense 2
2025-07-14T19:54:00Z,32.2,Sense 2
2025-07-14T19:55:00Z,32.5,Sense 2
2025-07-14T19:56:00Z,32.7,Sense 2
2025-07-14T19:57:00Z,32.8,Sense 2
2025-07-14T19:58:00Z,33.0,Sense 2
2025-07-14T19:59:00Z,33.1,Sense 2
2025-07-14T20:00:00Z,33.2,Sense 2
2025-07-14T20:01:00Z,33.2,Sense 2
2025-07-14T20:02:00Z,33.3,Sense 2
2025-07-14T20:03:00Z,33.4,Sense 2
2025-07-14T20:04:00Z,33.5,Sense 2
2025-07-14T20:05:00Z,33.5,Sense 2
2025-07-14T20:06:00Z,33.5,Sense 2
2025-07-14T20:07:00Z,33.5,Sense 2
2025-07-14T20:08:00Z,33.6,Sense 2
2025-07-14T20:09:00Z,33.6,Sense 2
2025-07-14T20:10:00Z,33.7,Sense 2
2025-07-14T20:11:00Z,33.7,Sense 2
2025-07-14T20:12:00Z,33.7,Sense 2
2025-07-14T20:13:00Z,33.8,Sense 2
2025-07-14T20:14:00Z,33.8,Sense 2
2025-07-14T20:15:00Z,33.8,Sense 2
2025-07-14T20:16:00Z,33.8,Sense 2
2025-07-14T20:17:00Z,33.9,Sense 2
2025-07-14T20:18:00Z,33.9,Sense 2
2025-07-14T20:19:00Z,33.9,Sense 2
2025-07-14T20:20:00Z,34.0,Sense 2
2025-07-14T20:21:00Z,34.0,Sense 2
2025-07-14T20:22:00Z,34.0,Sense 2
2025-07-14T20:23:00Z,34.0,Sense 2
2025-07-14T20:24:00Z,34.1,Sense 2
2025-07-14T20:25:00Z,34.1,Sense 2
2025-07-14T20:26:00Z,34.0,Sense 2
2025-07-14T20:27:00Z,33.9,Sense 2
